,Season,Winning Nation,Winning Team,Score,Runners-up Nation,Runners-up Team,Att
,1955–56,ESP,Real Madrid,4–3,FRA,Reims,"Parc des Princes, Paris","38,239"
,1992–93,FRA,Marseille,1–0,ITA,Milan,"Olympiastadion, Munich","64,400"
,1993–94,ITA,Milan,4–0,ESP,Barcelona,"Olympic Stadium, Athens","70,000"
,1994–95,NED,Ajax,1–0,ITA,Milan,"Ernst-Happel-Stadion, Vienna","49,730"
,1995–96,ITA,Juventus,1–1*[F],NED,Ajax,"Stadio Olimpico, Rome","70,000"
,1996–97,GER,Borussia Dortmund,3–1,ITA,Juventus,"Olympiastadion, Munich","59,000"
,1997–98,ESP,Real Madrid,1–0,ITA,Juventus,"Amsterdam Arena, Amsterdam","48,500"
,1998–99,ENG,Manchester United,2–1,GER,Bayern Munich,"Camp Nou, Barcelona","90,245"
,1999–2000,ESP,Real Madrid,3–0,ESP,Valencia,"Stade de France, Saint-Denis","80,000"
,2000–01,GER,Bayern Munich,1–1*[G],ESP,Valencia,"San Siro, Milan","71,500"
,2001–02,ESP,Real Madrid,2–1,GER,Bayer Leverkusen,"Hampden Park, Glasgow","50,499"
,2002–03,ITA,Milan,0–0*[H],ITA,Juventus,"Old Trafford, Manchester","62,315"
,2003–04,POR,Porto,3–0,FRA,Monaco,"Arena AufSchalke, Gelsenkirchen","53,053"
,2004–05,ENG,Liverpool,3–3*[I],ITA,Milan,"Atatürk Olympic Stadium, Istanbul","69,000"
,2005–06,ESP,Barcelona,2–1,ENG,Arsenal,"Stade de France, Saint-Denis","79,610"
,2006–07,ITA,Milan,2–1,ENG,Liverpool,"Olympic Stadium, Athens","63,000"
,2007–08,ENG,Manchester United,1–1*[J],ENG,Chelsea,"Luzhniki Stadium, Moscow","67,310"
,2008–09,ESP,Barcelona,2–0,ENG,Manchester United,"Stadio Olimpico, Rome","62,467"
,2009–10,ITA,Internazionale,2–0,GER,Bayern Munich,"Santiago Bernabéu Stadium, Madrid","73,490"
,2010–11,ESP,Barcelona,3–1,ENG,Manchester United,"Wembley Stadium, London","87,695"
,2011–12,ENG,Chelsea,1–1*[K],GER,Bayern Munich,"Allianz Arena, Munich","62,500"
,2012–13,GER,Bayern Munich,2–1,GER,Borussia Dortmund,"Wembley Stadium, London","86,298"
,2013–14,ESP,Real Madrid,4–1,ESP,Atlético Madrid,"Estádio da Luz, Lisbon","60,976"
,2014–15,ESP,Barcelona,3–1,ITA,Juventus,"Olympiastadion, Berlin","70,442"
,2015–16,ESP,Real Madrid,1–1*[L],ESP,Atlético Madrid,"San Siro, Milan","71,942"
,2016–17,ESP,Real Madrid,4–1,ITA,Juventus,"Millennium Stadium, Cardiff","65,842"
,2017–18,ESP,Real Madrid,3–1,ENG,Liverpool,"NSC Olimpiyskiy Stadium, Kiev","61,561"
,2018–19,ENG,Liverpool,2–0,ENG,Tottenham Hotspur,"Wanda Metropolitano, Madrid","63,272"
